epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,6000.07,0.37418,0.32644,0.88132,0.98304,0.96895,0.99273,0.9484,0.26157,0.24746,0.74478,0.0011156,0.0011156,0.0011156
136,6039.77,0.37458,0.33657,0.8824,0.98587,0.96366,0.99214,0.94926,0.25478,0.22503,0.74577,0.001109,0.001109,0.001109
137,6076.07,0.38751,0.3479,0.88506,0.99253,0.97238,0.99381,0.95308,0.24891,0.20288,0.73866,0.0011024,0.0011024,0.0011024
138,6115.01,0.3661,0.31689,0.87319,0.98935,0.96802,0.99343,0.95374,0.24499,0.22615,0.73885,0.0010958,0.0010958,0.0010958
139,6152.67,0.36794,0.333,0.87466,0.98876,0.97311,0.99326,0.949,0.25507,0.22309,0.74286,0.0010892,0.0010892,0.0010892
140,6190.74,0.35125,0.31374,0.87557,0.98744,0.97138,0.99337,0.9532,0.2455,0.21768,0.74151,0.0010826,0.0010826,0.0010826
141,6229.07,0.37123,0.32875,0.87974,0.99148,0.97311,0.99342,0.95232,0.25041,0.21322,0.74201,0.001076,0.001076,0.001076
142,6266.71,0.3735,0.32418,0.87561,0.98989,0.97384,0.99372,0.95188,0.24314,0.20283,0.74131,0.0010694,0.0010694,0.0010694
143,6307.07,0.37103,0.32247,0.87983,0.98522,0.96901,0.99313,0.9542,0.23616,0.22107,0.73801,0.0010628,0.0010628,0.0010628
144,6347.23,0.35511,0.31288,0.8707,0.99151,0.9702,0.99351,0.95519,0.2378,0.20392,0.73968,0.0010562,0.0010562,0.0010562
145,6385.47,0.36104,0.32186,0.87188,0.98814,0.96894,0.99357,0.95479,0.23887,0.21025,0.74108,0.0010496,0.0010496,0.0010496
146,6423.86,0.36064,0.31676,0.87002,0.98709,0.97674,0.99383,0.95735,0.23313,0.19827,0.73791,0.001043,0.001043,0.001043
147,6462.26,0.34838,0.30887,0.87051,0.98675,0.97405,0.99358,0.9535,0.24223,0.19943,0.73628,0.0010364,0.0010364,0.0010364
148,6500.48,0.37346,0.32869,0.87387,0.99042,0.97166,0.99383,0.95975,0.23264,0.19615,0.73525,0.0010298,0.0010298,0.0010298
149,6538.42,0.34783,0.31891,0.87001,0.98314,0.97462,0.99363,0.95507,0.24559,0.24793,0.73983,0.0010232,0.0010232,0.0010232
150,6577.15,0.36217,0.31997,0.87323,0.98963,0.97054,0.99389,0.95813,0.2335,0.1972,0.73709,0.0010166,0.0010166,0.0010166
